Event, Details, Time(s)
 Start, 15/06/2025 15:07:28, 0.2205566 
 PlaceBet, Response Time: 0.2333374, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1692621103","betType":"single","playerId":"3","roundId":"17500014283777807","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:54.006Z","id":"684ee72ee06cea00132f4cd4"}}, 194.3322 
 PlaceBet, Response Time: 0.3500061, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"8714803473","betType":"single","playerId":"2","roundId":"17500014283777807","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:54.168Z","id":"684ee72e73d61f0012836ed9"}}, 194.4989 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2522978238","betType":"single","playerId":"4","roundId":"17500014283777807","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:55.020Z","id":"684ee72ff97b90000ef73b14"}}, 195.3489 
 PlaceBet, Response Time: 0.2166443, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5542844522","betType":"single","playerId":"1","roundId":"17500014283777807","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:55.338Z","id":"684ee72fb48c53000f65837a"}}, 195.6655 
 PlaceBet, Response Time: 0.2333374, Response: {"status":"error"}, 195.8488 
 PlaceBet Status Not OK, response: {"status":"error"}, 195.8488 
 PlaceBet, Response Time: 0.2333374, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"7061139498","betType":"single","playerId":"8","roundId":"17500014283777807","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:30:55.617Z","id":"684ee72f43845d001da68199"}}, 195.9489 

 PlaceBet, Response Time: 0.2166595, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3858299815","betType":"single","playerId":"1","roundId":"17500014426917758","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:02.621Z","id":"684ee736a7e16c00266e1ad6"}}, 202.9487 
 PlaceBet, Response Time: 0.2166443, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1887147434","betType":"single","playerId":"3","roundId":"17500014426917758","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:03.425Z","id":"684ee737c8b47e0013945f1a"}}, 203.7487 
 PlaceBet, Response Time: 0.2666473, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1014521270","betType":"single","playerId":"2","roundId":"17500014426917758","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:03.579Z","id":"684ee7379b9f2e001077a46b"}}, 203.8987 
 PlaceBet, Response Time: 0.2166748, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3179550479","betType":"single","playerId":"5","roundId":"17500014426917758","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:04.486Z","id":"684ee73843845d001da681b6"}}, 204.8154 
 PlaceBet, Response Time: 0.2833405, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1377580182","betType":"single","playerId":"6","roundId":"17500014426917758","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:04.654Z","id":"684ee7389a25680011fdcac5"}}, 204.982 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"error"}, 205.2154 
 PlaceBet Status Not OK, response: {"status":"error"}, 205.2154 
 PlaceBet, Response Time: 0.2166748, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4523067280","betType":"single","playerId":"4","roundId":"17500014426917758","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:05.044Z","id":"684ee73954d4fc0012c67e65"}}, 205.3654 
 Cashout, Response Time: 0.2166748, Response: {"status":"ok","data":{"wallet":17568.391,"playLevel":200,"bonus":550,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":5,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:44:57.115Z","id":"684b58692b2345000ebc9e62"}}, 213.2653 
 Cashout, Response Time: 0.1999969, Response: {"status":"ok","data":{"wallet":7318.136878601021,"playLevel":200,"bonus":0,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":2,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:11.709Z","id":"684b565bb84283001eb2f607"}}, 215.7985 

 PlaceBet, Response Time: 0.2166443, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1128009397","betType":"single","playerId":"4","roundId":"17500014520248525","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:27.305Z","id":"684ee74fa0c4ad000f0ba8bc"}}, 227.6317 
 PlaceBet, Response Time: 0.2166443, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1447544318","betType":"single","playerId":"6","roundId":"17500014520248525","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:27.599Z","id":"684ee74fbbd64500148632b6"}}, 227.9317 
 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4512839032","betType":"single","playerId":"3","roundId":"17500014520248525","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:28.497Z","id":"684ee750f88c19000e0e4bd0"}}, 228.815 
 PlaceBet, Response Time: 0.2166443, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6829672043","betType":"single","playerId":"1","roundId":"17500014520248525","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:28.839Z","id":"684ee75054d4fc0012c67e80"}}, 229.165 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"error"}, 229.3483 
 PlaceBet Status Not OK, response: {"status":"error"}, 229.3483 
 PlaceBet, Response Time: 0.2166901, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3578126600","betType":"single","playerId":"2","roundId":"17500014520248525","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:29.585Z","id":"684ee7518ebf86000fbf1ac8"}}, 229.915 
 PlaceBet, Response Time: 0.1999969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2733251483","betType":"single","playerId":"8","roundId":"17500014520248525","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:30.140Z","id":"684ee7521e2d2d0012865444"}}, 230.465 

 PlaceBet, Response Time: 0.1997986, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3811306161","betType":"single","playerId":"8","roundId":"17500014614603614","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:45.546Z","id":"684ee7612610d8001c2481ad"}}, 245.8477 
 PlaceBet, Response Time: 0.2669983, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"7652810903","betType":"single","playerId":"1","roundId":"17500014614603614","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:45.743Z","id":"684ee761194a8e0011983305"}}, 246.098 
 PlaceBet, Response Time: 0.2333527, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9245642449","betType":"single","playerId":"3","roundId":"17500014614603614","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:46.105Z","id":"684ee762e1c395000ef8ec5a"}}, 246.4481 
 PlaceBet, Response Time: 0.216507, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3489075544","betType":"single","playerId":"6","roundId":"17500014614603614","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:47.215Z","id":"684ee763fbf2f900115d7b93"}}, 247.5313 
 PlaceBet, Response Time: 0.2830505, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"8165626652","betType":"single","playerId":"4","roundId":"17500014614603614","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:47.407Z","id":"684ee763b808fe00182d54ea"}}, 247.7144 
 PlaceBet, Response Time: 0.21698, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4607796668","betType":"single","playerId":"5","roundId":"17500014614603614","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:47.604Z","id":"684ee763e2aef600153cde9b"}}, 247.9147 
 PlaceBet, Response Time: 0.2669983, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1841590945","betType":"single","playerId":"2","roundId":"17500014614603614","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:47.788Z","id":"684ee763f88c19000e0e4bec"}}, 248.0979 
 PlaceBet, Response Time: 0.2664032, Response: {"status":"error"}, 249.2142 
 PlaceBet Status Not OK, response: {"status":"error"}, 249.2142 

 PlaceBet, Response Time: 0.1997986, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4362816922","betType":"single","playerId":"6","roundId":"17500014861636056","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:54.716Z","id":"684ee76a43845d001da681d4"}}, 255.0119 
 PlaceBet, Response Time: 0.1997986, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1216595520","betType":"single","playerId":"5","roundId":"17500014861636056","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:54.962Z","id":"684ee76a88a8b9001ecbc0ed"}}, 255.2617 
 PlaceBet, Response Time: 0.1997986, Response: {"status":"error"}, 255.5114 
 PlaceBet Status Not OK, response: {"status":"error"}, 255.5114 
 PlaceBet, Response Time: 0.1998138, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4282119493","betType":"single","playerId":"3","roundId":"17500014861636056","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:55.743Z","id":"684ee76b651ff100116f0b74"}}, 256.0442 
 PlaceBet, Response Time: 0.2330933, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9319154421","betType":"single","playerId":"2","roundId":"17500014861636056","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:55.962Z","id":"684ee76b6a710f00120cbce5"}}, 256.2939 
 PlaceBet, Response Time: 0.2331238, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5444044130","betType":"single","playerId":"4","roundId":"17500014861636056","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:56.100Z","id":"684ee76cfd4604001abaa2b7"}}, 256.4105 
 PlaceBet, Response Time: 0.2164612, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2200362387","betType":"single","playerId":"1","roundId":"17500014861636056","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:56.389Z","id":"684ee76ce9cc440010e369e1"}}, 256.6936 
 PlaceBet, Response Time: 0.2330933, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1017804445","betType":"single","playerId":"8","roundId":"17500014861636056","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:31:57.019Z","id":"684ee76d8b36a60013367ba6"}}, 257.3596 
 Cashout, Response Time: 0.2164307, Response: {"status":"ok","data":{"wallet":10658.438,"playLevel":100,"bonus":550,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":1,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:11.225Z","id":"684b565bb84283001eb2f601"}}, 262.9207 
 Cashout, Response Time: 0.1997986, Response: {"status":"ok","data":{"wallet":7030.136878601021,"playLevel":200,"bonus":0,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":2,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:11.709Z","id":"684b565bb84283001eb2f607"}}, 263.9363 

 PlaceBet, Response Time: 0.2164307, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5375487386","betType":"single","playerId":"4","roundId":"17500015042368056","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:32:10.811Z","id":"684ee77a54d4fc0012c67e9b"}}, 271.1303 
 PlaceBet, Response Time: 0.1997986, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3020299902","betType":"single","playerId":"5","roundId":"17500015042368056","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:32:11.426Z","id":"684ee77bb117a8000e69e70b"}}, 271.7308 
 PlaceBet, Response Time: 0.1997986, Response: {"status":"error"}, 272.2303 
 PlaceBet Status Not OK, response: {"status":"error"}, 272.2303 
 PlaceBet, Response Time: 0.1997986, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9392905447","betType":"single","playerId":"1","roundId":"17500015042368056","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:32:12.281Z","id":"684ee77c66a47400136afaa5"}}, 272.5799 
 PlaceBet, Response Time: 0.2497253, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9468001465","betType":"single","playerId":"8","roundId":"17500015042368056","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:32:12.470Z","id":"684ee77c16a9560010db713c"}}, 272.7797 
 PlaceBet, Response Time: 0.2513428, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3820780029","betType":"single","playerId":"2","roundId":"17500015042368056","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:32:12.781Z","id":"684ee77cd76f9100122cf115"}}, 273.081 
 PlaceBet, Response Time: 0.2167969, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3185551766","betType":"single","playerId":"6","roundId":"17500015042368056","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:32:13.581Z","id":"684ee77d66a47400136afac0"}}, 273.8977 
 Cashout, Response Time: 0.1997986, Response: {"status":"ok","data":{"wallet":10722.438,"playLevel":100,"bonus":550,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":1,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:11.225Z","id":"684b565bb84283001eb2f601"}}, 279.997 

 PlaceBet, Response Time: 0.1997986, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5862781312","betType":"single","playerId":"4","roundId":"17500015136682195","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:32:27.848Z","id":"684ee78b268dc7000e12c43a"}}, 288.1467 
 PlaceBet, Response Time: 0.183136, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"3668540115","betType":"single","playerId":"2","roundId":"17500015136682195","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:32:28.216Z","id":"684ee78ce1c395000ef8ec7a"}}, 288.513 
 PlaceBet, Response Time: 0.2001038, Response: {"status":"error"}, 288.8974 
 PlaceBet Status Not OK, response: {"status":"error"}, 288.8974 
 PlaceBet, Response Time: 0.2166748, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"7561194750","betType":"single","playerId":"8","roundId":"17500015136682195","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:32:29.043Z","id":"684ee78d2277eb000fd950e3"}}, 289.364 
 PlaceBet, Response Time: 0.2001953, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9800095831","betType":"single","playerId":"3","roundId":"17500015136682195","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:32:29.399Z","id":"684ee78d89248f0012acd3bf"}}, 289.6974 
 PlaceBet, Response Time: 0.1999512, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6322000408","betType":"single","playerId":"1","roundId":"17500015136682195","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:32:29.955Z","id":"684ee78d4ddeef001a91fb0f"}}, 290.264 
 PlaceBet, Response Time: 0.1999512, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4768371682","betType":"single","playerId":"5","roundId":"17500015136682195","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:32:29.980Z","id":"684ee78de06cea00132f4cef"}}, 290.2806 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6268473385","betType":"single","playerId":"6","roundId":"17500015136682195","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:32:30.564Z","id":"684ee78e4f7b68000e7cb00b"}}, 290.8641 

 PlaceBet, Response Time: 0.2166748, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9509323831","betType":"single","playerId":"4","roundId":"1750001529327314","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:32:38.764Z","id":"684ee796fbf2f900115d7baf"}}, 299.0973 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"error"}, 299.6806 
 PlaceBet Status Not OK, response: {"status":"error"}, 299.6806 
 PlaceBet, Response Time: 0.2666626, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6878816118","betType":"single","playerId":"6","roundId":"1750001529327314","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:32:39.819Z","id":"684ee79718ae0c000d84e6d0"}}, 300.1973 
 PlaceBet, Response Time: 0.2333069, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"7415351438","betType":"single","playerId":"5","roundId":"1750001529327314","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:32:40.469Z","id":"684ee798acad1c0015cef741"}}, 300.7972 
 PlaceBet, Response Time: 0.2666626, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1117739704","betType":"single","playerId":"8","roundId":"1750001529327314","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:32:40.626Z","id":"684ee798a7e16c00266e1af3"}}, 300.9473 
 PlaceBet, Response Time: 0.3166504, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":2000,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"1286331579","betType":"single","playerId":"3","roundId":"1750001529327314","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:32:40.819Z","id":"684ee798d354ca00209ed742"}}, 301.1472 
 PlaceBet, Response Time: 0.2166748, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":100,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"2300749309","betType":"single","playerId":"1","roundId":"1750001529327314","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:32:40.970Z","id":"684ee7985cca9e001a401f8d"}}, 301.2973 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9518650049","betType":"single","playerId":"2","roundId":"1750001529327314","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:32:41.774Z","id":"684ee799fbd8500011f84765"}}, 302.0973 
