Event, Details, Time(s)
 Start, 15/06/2025 15:07:28, 0.2205566 
 PlaceBet Status Not OK, response: {"status":"error"}, 261.34 
 PlaceBet, Response Time: 0.2833252, Response: {"status":"ok","data":{"freebet":true,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":30.1,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5640958845","betType":"single","playerId":"2","roundId":"17500007521508542","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:19:37.746Z","id":"684ee4895cca9e001a401f6c"}}, 262.14 
 PlaceBet, Response Time: 0.2166443, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"6372081130","betType":"single","playerId":"4","roundId":"17500007521508542","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:19:38.923Z","id":"684ee48ae0174000107ff8ed"}}, 263.3066 
 Cashout, Response Time: 0.2000427, Response: {"status":"ok","data":{"wallet":2308.345833972984,"playLevel":200,"bonus":0,"freebet":false,"deviceId":"684b55eff20ab3001efa6071","cashierId":"671e9e60b1418c7fd2eeb8cf","playerId":4,"superAgentId":"6708d877f86545dd1d64ae0f","createdAt":"2025-06-12T22:36:13.499Z","id":"684b565d95dd5c0010284e41"}}, 267.9733 

 PlaceBet, Response Time: 0.2166748, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"5870374836","betType":"single","playerId":"2","roundId":"17500007652969303","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:19:54.201Z","id":"684ee49a16a9560010db7101"}}, 278.5898 
 PlaceBet, Response Time: 0.2166748, Response: {"status":"error"}, 280.6397 
 PlaceBet Status Not OK, response: {"status":"error"}, 280.6397 
 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"7344652099","betType":"single","playerId":"4","roundId":"17500007652969303","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:19:56.648Z","id":"684ee49cadbafe000e0e9890"}}, 281.0397 

 PlaceBet, Response Time: 0.1999817, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"9155977825","betType":"single","playerId":"2","roundId":"17500007755193754","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:20:04.333Z","id":"684ee4a4b117a8000e69e6ed"}}, 288.723 
 PlaceBet, Response Time: 0.2000122, Response: {"status":"ok","data":{"freebet":false,"winnings":0,"potentialWinnings":0,"roundHasEnded":false,"payout":false,"cancelled":false,"stake":200,"gameType":"aviatax","cashierId":"671e9e60b1418c7fd2eeb8cf","ticketId":"4030200591","betType":"single","playerId":"4","roundId":"17500007755193754","deviceId":"684b55eff20ab3001efa6071","selections":[],"createdAt":"2025-06-15T15:20:04.525Z","id":"684ee4a488a8b9001ecbc0b6"}}, 288.9063 
